, "id", "k", "i", "j", "f", "Active"
428, 428, 1, 22, 8, 4.4, 1
429, 429, 1, 22, 9, 3.6, 1
430, 430, 1, 22, 10, 2.9, 1
431, 431, 1, 22, 11, 2.2, 1
432, 432, 1, 22, 12, 1.7, 1
433, 433, 1, 22, 13, 1.5, 1
434, 434, 1, 22, 14, 1.4, 1
435, 435, 1, 22, 15, 1.4, 1
436, 436, 1, 22, 16, 1.5, 1
437, 437, 1, 22, 17, 1.7, 1
438, 438, 1, 22, 18, 1.8, 1
439, 439, 1, 22, 19, 1.9, 1
440, 440, 1, 22, 20, 2.0, 1
441, 441, 1, 23, 1, 7.8, 1
442, 442, 1, 23, 2, 7.5, 1
443, 443, 1, 23, 3, 7.2, 1
444, 444, 1, 23, 4, 6.7, 1
445, 445, 1, 23, 5, 6.3, 1
446, 446, 1, 23, 6, 5.7, 1
447, 447, 1, 23, 7, 5.1, 1
448, 448, 1, 23, 8, 4.4, 1
449, 449, 1, 23, 9, 3.6, 1
450, 450, 1, 23, 10, 2.9, 1
451, 451, 1, 23, 11, 2.1, 1
452, 452, 1, 23, 12, 1.5, 1
453, 453, 1, 23, 13, 1.4, 1
454, 454, 1, 23, 14, 1.4, 1
455, 455, 1, 23, 15, 1.4, 1
456, 456, 1, 23, 16, 1.5, 1
457, 457, 1, 23, 17, 1.6, 1
458, 458, 1, 23, 18, 1.7, 1
459, 459, 1, 23, 19, 1.8, 1
460, 460, 1, 23, 20, 1.8, 1
461, 461, 1, 24, 1, 7.6, 1
462, 462, 1, 24, 2, 7.3, 1
463, 463, 1, 24, 3, 7.0, 1
464, 464, 1, 24, 4, 6.7, 1
465, 465, 1, 24, 5, 6.2, 1
466, 466, 1, 24, 6, 5.7, 1
467, 467, 1, 24, 7, 5.1, 1
468, 468, 1, 24, 8, 4.4, 1
469, 469, 1, 24, 9, 3.7, 1
470, 470, 1, 24, 10, 2.9, 1
471, 471, 1, 24, 11, 2.2, 1
472, 472, 1, 24, 12, 1.7, 1
473, 473, 1, 24, 13, 1.5, 1
474, 474, 1, 24, 14, 1.4, 1
475, 475, 1, 24, 15, 1.4, 1
476, 476, 1, 24, 16, 1.4, 1
477, 477, 1, 24, 17, 1.5, 1
478, 478, 1, 24, 18, 1.6, 1
479, 479, 1, 24, 19, 1.6, 1
480, 480, 1, 24, 20, 1.7, 1
481, 481, 1, 25, 1, 7.4, 1
482, 482, 1, 25, 2, 7.2, 1
483, 483, 1, 25, 3, 6.9, 1
484, 484, 1, 25, 4, 6.6, 1
485, 485, 1, 25, 5, 6.3, 1
486, 486, 1, 25, 6, 5.8, 1
487, 487, 1, 25, 7, 5.3, 1
488, 488, 1, 25, 8, 4.6, 1
489, 489, 1, 25, 9, 3.8, 1
490, 490, 1, 25, 10, 3.0, 1
491, 491, 1, 25, 11, 2.3, 1
492, 492, 1, 25, 12, 1.9, 1
493, 493, 1, 25, 13, 1.6, 1
494, 494, 1, 25, 14, 1.4, 1
495, 495, 1, 25, 15, 1.4, 1
496, 496, 1, 25, 16, 1.3, 1
497, 497, 1, 25, 17, 1.4, 1
498, 498, 1, 25, 18, 1.4, 1
499, 499, 1, 25, 19, 1.5, 1
500, 500, 1, 25, 20, 1.6, 1
501, 501, 1, 26, 1, 7.2, 1
502, 502, 1, 26, 2, 7.1, 1
503, 503, 1, 26, 3, 6.8, 1
504, 504, 1, 26, 4, 6.6, 1
505, 505, 1, 26, 5, 6.3, 1
506, 506, 1, 26, 6, 6.0, 1
507, 507, 1, 26, 7, 5.6, 1
508, 508, 1, 26, 8, 4.9, 1
509, 509, 1, 26, 9, 4.0, 1
510, 510, 1, 26, 10, 3.0, 1
511, 511, 1, 26, 11, 2.5, 1
512, 512, 1, 26, 12, 2.0, 1
513, 513, 1, 26, 13, 1.7, 1
514, 514, 1, 26, 14, 1.5, 1
515, 515, 1, 26, 15, 1.3, 1
516, 516, 1, 26, 16, 1.3, 1
517, 517, 1, 26, 17, 1.3, 1
518, 518, 1, 26, 18, 1.3, 1
519, 519, 1, 26, 19, 1.4, 1
520, 520, 1, 26, 20, 1.5, 1
521, 521, 1, 27, 1, 7.1, 1
522, 522, 1, 27, 2, 6.9, 1
523, 523, 1, 27, 3, 6.8, 1
524, 524, 1, 27, 4, 6.6, 1
525, 525, 1, 27, 5, 6.4, 1
526, 526, 1, 27, 6, 6.1, 1
527, 527, 1, 27, 7, 5.9, 1
528, 528, 1, 27, 8, 5.4, 1
529, 529, 1, 27, 9, 4.5, 1
530, 530, 1, 27, 10, 3.5, 1
531, 531, 1, 27, 11, 2.7, 1
532, 532, 1, 27, 12, 2.2, 1
533, 533, 1, 27, 13, 1.8, 1
534, 534, 1, 27, 14, 1.5, 1
535, 535, 1, 27, 15, 1.3, 1
536, 536, 1, 27, 16, 1.2, 1
537, 537, 1, 27, 17, 1.2, 1
538, 538, 1, 27, 18, 1.2, 1
539, 539, 1, 27, 19, 1.2, 1
540, 540, 1, 27, 20, 1.3, 1
541, 541, 1, 28, 1, 6.9, 1
542, 542, 1, 28, 2, 6.8, 1
543, 543, 1, 28, 3, 6.6, 1
544, 544, 1, 28, 4, 6.5, 1
545, 545, 1, 28, 5, 6.3, 1
546, 546, 1, 28, 6, 6.2, 1
547, 547, 1, 28, 7, 6.1, 1
548, 548, 1, 28, 8, 6.0, 1
549, 549, 1, 28, 9, 4.8, 1
550, 550, 1, 28, 10, 3.7, 1
551, 551, 1, 28, 11, 2.9, 1
552, 552, 1, 28, 12, 2.3, 1
553, 553, 1, 28, 13, 1.8, 1
554, 554, 1, 28, 14, 1.4, 1
555, 555, 1, 28, 15, 1.2, 1
556, 556, 1, 28, 16, 1.1, 1
557, 557, 1, 28, 17, 1.0, 1
558, 558, 1, 28, 18, 1.0, 1
559, 559, 1, 28, 19, 1.1, 1
560, 560, 1, 28, 20, 1.2, 1
