time,HD01,HD02,HD03,HD04,HD05,HD06,HD07,HD08,HD09,HD10,HD11,HD12,HD13,HD14
32279.50000000,-17.09940000,-16.47761754,-19.85669181,-34.75874329,-45.79491330,-45.80725000,-45.77924477,-36.45332020,-24.42176708,-35.96212910,-45.80725000,-45.69269292,-45.58330000,-45.57190516
32280.50000000,-17.10005000,-16.47833232,-19.85771570,-34.75995929,-45.85344842,-45.86670000,-45.83626482,-36.45467234,-24.42326854,-35.96347812,-45.86670000,-45.69395334,-45.57870000,-45.56827049
32281.50000000,-17.10055000,-16.47904706,-19.85873958,-34.76118556,-45.89335635,-45.90635000,-45.87850598,-36.45603594,-24.42476998,-35.96483674,-45.90635000,-45.69697681,-45.56345000,-45.55944592
32282.50000000,-17.10100000,-16.47976176,-19.85976344,-34.76241345,-45.90075203,-45.91245000,-45.89013294,-36.45740243,-24.42627140,-35.96619657,-45.91245000,-45.69862012,-45.54670000,-45.54744256
32283.50000000,-17.10160000,-16.48047646,-19.86078730,-34.76365374,-45.94868018,-45.96275000,-45.93442105,-36.45878096,-24.42777281,-35.96756865,-45.96275000,-45.70392563,-45.54515000,-45.54130704
32284.50000000,-17.10205000,-16.48119110,-19.86181114,-34.76490322,-45.98457343,-45.99870000,-45.97158558,-36.46016951,-24.42927421,-35.96894941,-45.99870000,-45.71142533,-45.54820000,-45.54005325
32285.50000000,-17.10250000,-16.48190570,-19.86283498,-34.76614097,-45.94180052,-45.95190000,-45.93773316,-36.46154822,-24.43077559,-35.97031812,-45.95190000,-45.71283717,-45.53600000,-45.53356173
32286.50000000,-17.10295000,-16.48262025,-19.86385880,-34.76736617,-45.89597980,-45.90515000,-45.89304572,-36.46291403,-24.43227695,-35.97167480,-45.90515000,-45.70867319,-45.51620000,-45.52091512
32287.50000000,-17.10325000,-16.48333469,-19.86488262,-34.76857875,-45.84989468,-45.85835000,-45.84665647,-36.46426649,-24.43377829,-35.97301943,-45.85835000,-45.70056005,-45.50405000,-45.50914116
32288.50000000,-17.10370000,-16.48404908,-19.86590641,-34.76977871,-45.80372693,-45.81155000,-45.80000654,-36.46560552,-24.43527961,-35.97435203,-45.81155000,-45.69004853,-45.50250000,-45.50296063
32289.50000000,-17.10415000,-16.48476342,-19.86693020,-34.77096600,-45.75735597,-45.76460000,-45.75318990,-36.46693108,-24.43678090,-35.97567257,-45.76460000,-45.67876428,-45.51620000,-45.50688225
32290.50000000,-17.10460000,-16.48547770,-19.86795396,-34.77214063,-45.71106674,-45.71780000,-45.70647446,-36.46824321,-24.43828218,-35.97698107,-45.71780000,-45.66658925,-45.52685000,-45.51395182
32291.50000000,-17.10505000,-16.48619194,-19.86897771,-34.77330258,-45.66465744,-45.67105000,-45.65981675,-36.46954193,-24.43978342,-35.97827756,-45.67105000,-45.65342181,-45.53445000,-45.52095917
32292.50000000,-17.10535000,-16.48690607,-19.87000144,-34.77445182,-45.61806951,-45.62425000,-45.61312560,-36.47082723,-24.44128464,-35.97956203,-45.62425000,-45.63991609,-45.54820000,-45.53092101
32293.50000000,-17.10565000,-16.48762010,-19.87102515,-34.77558831,-45.57140134,-45.57745000,-45.56642931,-36.47209911,-24.44278583,-35.98083449,-45.57745000,-45.62624109,-45.56345000,-45.54288266
32294.50000000,-17.10610000,-16.48833408,-19.87204884,-34.77671208,-45.52473768,-45.53070000,-45.51977445,-36.47335760,-24.44428699,-35.98209495,-45.53070000,-45.61204715,-45.57410000,-45.55345400
32295.50000000,-17.10660000,-16.48904803,-19.87307251,-34.77782310,-45.47800545,-45.48390000,-45.47308367,-36.47460269,-24.44578812,-35.98334341,-45.48390000,-45.59704092,-45.58020000,-45.56111820
32296.50000000,-17.10695000,-16.48976188,-19.87409615,-34.77892134,-45.43111640,-45.43695000,-45.42626061,-36.47583435,-24.44728921,-35.98457982,-45.43695000,-45.58109619,-45.58325000,-45.56597811
32297.50000000,-17.10725000,-16.49047564,-19.87511977,-34.78000684,-45.38435711,-45.39015000,-45.37954401,-36.47705261,-24.44879027,-35.98580423,-45.39015000,-45.56351236,-45.57565000,-45.56465091
32298.50000000,-17.10770000,-16.49118934,-19.87614337,-34.78107960,-45.33759972,-45.34335000,-45.33284370,-36.47825748,-24.45029129,-35.98701665,-45.34335000,-45.54443884,-45.56650000,-45.55989025
32299.50000000,-17.10815000,-16.49190300,-19.87716694,-34.78213964,-45.29088840,-45.29660000,-45.28618811,-36.47944897,-24.45179227,-35.98821710,-45.29660000,-45.52400254,-45.55580000,-45.55278831
32300.50000000,-17.10845000,-16.49261654,-19.87819048,-34.78318696,-45.24413068,-45.24980000,-45.23949709,-36.48062710,-24.45329321,-35.98940555,-45.24980000,-45.50193160,-45.53905000,-45.54156374
32301.50000000,-17.10875000,-16.49332999,-19.87921399,-34.78422151,-45.19722797,-45.20285000,-45.19267387,-36.48179181,-24.45479411,-35.99058199,-45.20285000,-45.47749188,-45.51010000,-45.52231251
32302.50000000,-17.10905000,-16.49404333,-19.88023747,-34.78524336,-45.15050888,-45.15610000,-45.14599939,-36.48294317,-24.45629496,-35.99174646,-45.15610000,-45.45134443,-45.48420000,-45.50068255
32303.50000000,-17.10935000,-16.49475656,-19.88126092,-34.78625250,-45.10374965,-45.10930000,-45.09930540,-36.48408116,-24.45779577,-35.99289896,-45.10930000,-45.42575254,-45.48270000,-45.48991272
32304.50000000,-17.10980000,-16.49546975,-19.88228434,-34.78724892,-45.05698887,-45.06250000,-45.05260841,-36.48520580,-24.45929654,-35.99403949,-45.06250000,-45.39985463,-45.47200000,-45.47957955
32305.50000000,-17.11025000,-16.49618288,-19.88330772,-34.78823265,-45.01022801,-45.01570000,-45.00591093,-36.48631708,-24.46079725,-35.99516806,-45.01570000,-45.37239650,-45.44610000,-45.46187554
32306.50000000,-17.11055000,-16.49689591,-19.88433107,-34.78920367,-44.96346712,-44.96890000,-44.95921335,-36.48741502,-24.46229792,-35.99628466,-44.96890000,-45.34519959,-45.44000000,-45.45053645
32307.50000000,-17.11085000,-16.49760884,-19.88535438,-34.79016202,-44.91675380,-44.92215000,-44.91255799,-36.48849963,-24.46379853,-35.99738933,-44.92215000,-45.31942384,-45.44910000,-45.44971681
32308.50000000,-17.11115000,-16.49832166,-19.88637766,-34.79110764,-44.86985228,-44.87520000,-44.86574006,-36.48957087,-24.46529909,-35.99848200,-44.87520000,-45.29317922,-45.43845000,-45.44399966
32309.50000000,-17.11145000,-16.49903438,-19.88740090,-34.79204057,-44.82308541,-44.82840000,-44.81902396,-36.49062878,-24.46679959,-35.99956272,-44.82840000,-45.26405876,-45.39730000,-45.42062499
32310.50000000,-17.11190000,-16.49974705,-19.88842410,-34.79296083,-44.77637146,-44.78165000,-44.77236568,-36.49167336,-24.46830004,-36.00063151,-44.78165000,-45.23254401,-45.35615000,-45.38868970
32311.50000000,-17.11235000,-16.50045967,-19.88944726,-34.79386843,-44.72961239,-44.73485000,-44.72567399,-36.49270463,-24.46980043,-36.00168836,-44.73485000,-45.19976982,-45.32415000,-45.35704748
32312.50000000,-17.11265000,-16.50117218,-19.89047037,-34.79476335,-44.68285155,-44.68805000,-44.67897715,-36.49372259,-24.47130076,-36.00273327,-44.68805000,-45.16668312,-45.30130000,-45.32998075
