,0,1,2,3,4,5,6,7,Left0,Left1,Left2,Right0,Right1,Right2
87,"(87, 0, 0)","(87, 0, 99)",1,0.03,0.03,1,90.0,0.06,87,0,0,87,0,99
88,"(88, 0, 0)","(88, 0, 99)",1,0.03,0.03,1,90.0,0.06,88,0,0,88,0,99
89,"(89, 0, 0)","(89, 0, 99)",1,0.03,0.03,1,90.0,0.06,89,0,0,89,0,99
90,"(90, 0, 0)","(90, 0, 99)",1,0.03,0.03,1,90.0,0.06,90,0,0,90,0,99
91,"(91, 0, 0)","(91, 0, 99)",1,0.03,0.03,1,90.0,0.06,91,0,0,91,0,99
92,"(92, 0, 0)","(92, 0, 99)",1,0.03,0.03,1,90.0,0.06,92,0,0,92,0,99
93,"(93, 0, 0)","(93, 0, 99)",1,0.03,0.03,1,90.0,0.06,93,0,0,93,0,99
94,"(94, 0, 0)","(94, 0, 99)",1,0.03,0.03,1,90.0,0.06,94,0,0,94,0,99
95,"(95, 0, 0)","(95, 0, 99)",1,0.03,0.03,1,90.0,0.06,95,0,0,95,0,99
96,"(96, 0, 0)","(96, 0, 99)",1,0.03,0.03,1,90.0,0.06,96,0,0,96,0,99
97,"(97, 0, 0)","(97, 0, 99)",1,0.03,0.03,1,90.0,0.06,97,0,0,97,0,99
98,"(98, 0, 0)","(98, 0, 99)",1,0.03,0.03,1,90.0,0.06,98,0,0,98,0,99
99,"(99, 0, 0)","(99, 0, 99)",1,0.03,0.03,1,90.0,0.06,99,0,0,99,0,99
100,"(100, 0, 0)","(100, 0, 99)",1,0.03,0.03,1,90.0,0.06,100,0,0,100,0,99
101,"(101, 0, 0)","(101, 0, 99)",1,0.03,0.03,1,90.0,0.06,101,0,0,101,0,99
102,"(102, 0, 0)","(102, 0, 99)",1,0.03,0.03,1,90.0,0.06,102,0,0,102,0,99
103,"(103, 0, 0)","(103, 0, 99)",1,0.03,0.03,1,90.0,0.06,103,0,0,103,0,99
104,"(104, 0, 0)","(104, 0, 99)",1,0.03,0.03,1,90.0,0.06,104,0,0,104,0,99
105,"(105, 0, 0)","(105, 0, 99)",1,0.03,0.03,1,90.0,0.06,105,0,0,105,0,99
106,"(106, 0, 0)","(106, 0, 99)",1,0.03,0.03,1,90.0,0.06,106,0,0,106,0,99
107,"(107, 0, 0)","(107, 0, 99)",1,0.03,0.03,1,90.0,0.06,107,0,0,107,0,99
108,"(108, 0, 0)","(108, 0, 99)",1,0.03,0.03,1,90.0,0.06,108,0,0,108,0,99
109,"(109, 0, 0)","(109, 0, 99)",1,0.03,0.03,1,90.0,0.06,109,0,0,109,0,99
110,"(110, 0, 0)","(110, 0, 99)",1,0.03,0.03,1,90.0,0.06,110,0,0,110,0,99
111,"(111, 0, 0)","(111, 0, 99)",1,0.03,0.03,1,90.0,0.06,111,0,0,111,0,99
112,"(112, 0, 0)","(112, 0, 99)",1,0.03,0.03,1,90.0,0.06,112,0,0,112,0,99
113,"(113, 0, 0)","(113, 0, 99)",1,0.03,0.03,1,90.0,0.06,113,0,0,113,0,99
114,"(114, 0, 0)","(114, 0, 99)",1,0.03,0.03,1,90.0,0.06,114,0,0,114,0,99
115,"(115, 0, 0)","(115, 0, 99)",1,0.03,0.03,1,90.0,0.06,115,0,0,115,0,99
116,"(116, 0, 0)","(116, 0, 99)",1,0.03,0.03,1,90.0,0.06,116,0,0,116,0,99
117,"(117, 0, 0)","(117, 0, 99)",1,0.03,0.03,1,90.0,0.06,117,0,0,117,0,99
118,"(118, 0, 0)","(118, 0, 99)",1,0.03,0.03,1,90.0,0.06,118,0,0,118,0,99
119,"(119, 0, 0)","(119, 0, 99)",1,0.03,0.03,1,90.0,0.06,119,0,0,119,0,99
120,"(120, 0, 0)","(120, 0, 99)",1,0.03,0.03,1,90.0,0.06,120,0,0,120,0,99
121,"(121, 0, 0)","(121, 0, 99)",1,0.03,0.03,1,90.0,0.06,121,0,0,121,0,99
122,"(122, 0, 0)","(122, 0, 99)",1,0.03,0.03,1,90.0,0.06,122,0,0,122,0,99
123,"(123, 0, 0)","(123, 0, 99)",1,0.03,0.03,1,90.0,0.06,123,0,0,123,0,99
124,"(124, 0, 0)","(124, 0, 99)",1,0.03,0.03,1,90.0,0.06,124,0,0,124,0,99
125,"(125, 0, 0)","(125, 0, 99)",1,0.03,0.03,1,90.0,0.06,125,0,0,125,0,99
126,"(126, 0, 0)","(126, 0, 99)",1,0.03,0.03,1,90.0,0.06,126,0,0,126,0,99
127,"(127, 0, 0)","(127, 0, 99)",1,0.03,0.03,1,90.0,0.06,127,0,0,127,0,99
128,"(128, 0, 0)","(128, 0, 99)",1,0.03,0.03,1,90.0,0.06,128,0,0,128,0,99
129,"(129, 0, 0)","(129, 0, 99)",1,0.03,0.03,1,90.0,0.06,129,0,0,129,0,99
130,"(130, 0, 0)","(130, 0, 99)",1,0.03,0.03,1,90.0,0.06,130,0,0,130,0,99
131,"(131, 0, 0)","(131, 0, 99)",1,0.03,0.03,1,90.0,0.06,131,0,0,131,0,99
132,"(132, 0, 0)","(132, 0, 99)",1,0.03,0.03,1,90.0,0.06,132,0,0,132,0,99
133,"(133, 0, 0)","(133, 0, 99)",1,0.03,0.03,1,90.0,0.06,133,0,0,133,0,99
134,"(134, 0, 0)","(134, 0, 99)",1,0.03,0.03,1,90.0,0.06,134,0,0,134,0,99
