time,X008
380.0000000000,0.1563916956E-01
381.0000000000,0.1566970478E-01
382.0000000000,0.1569951715E-01
383.0000000000,0.1572860903E-01
384.0000000000,0.1575698286E-01
385.0000000000,0.1578464117E-01
386.0000000000,0.1581158659E-01
387.0000000000,0.1583782183E-01
388.0000000000,0.1586334968E-01
389.0000000000,0.1588817299E-01
390.0000000000,0.1591229473E-01
391.0000000000,0.1593571791E-01
392.0000000000,0.1595844563E-01
393.0000000000,0.1598048105E-01
394.0000000000,0.1600182741E-01
395.0000000000,0.1602248802E-01
396.0000000000,0.1604246625E-01
397.0000000000,0.1606176553E-01
398.0000000000,0.1608038934E-01
399.0000000000,0.1609834126E-01
400.0000000000,0.1611562487E-01
401.0000000000,0.1613224386E-01
402.0000000000,0.1614820194E-01
403.0000000000,0.1616350289E-01
404.0000000000,0.1617815051E-01
405.0000000000,0.1619214868E-01
406.0000000000,0.1620550133E-01
407.0000000000,0.1621821239E-01
408.0000000000,0.1623028589E-01
409.0000000000,0.1624172586E-01
410.0000000000,0.1625253639E-01
411.0000000000,0.1626272159E-01
412.0000000000,0.1627228563E-01
413.0000000000,0.1628123269E-01
414.0000000000,0.1628956700E-01
415.0000000000,0.1629729283E-01
416.0000000000,0.1630441444E-01
417.0000000000,0.1631093617E-01
418.0000000000,0.1631686235E-01
419.0000000000,0.1632219735E-01
420.0000000000,0.1632694556E-01
421.0000000000,0.1633111141E-01
422.0000000000,0.1633469931E-01
423.0000000000,0.1633771374E-01
424.0000000000,0.1634015918E-01
425.0000000000,0.1634204010E-01
426.0000000000,0.1634336103E-01
427.0000000000,0.1634412649E-01
428.0000000000,0.1634434103E-01
429.0000000000,0.1634400918E-01
430.0000000000,0.1634313553E-01
431.0000000000,0.1634172464E-01
432.0000000000,0.1633978110E-01
433.0000000000,0.1633730951E-01
434.0000000000,0.1633431446E-01
435.0000000000,0.1633080056E-01
436.0000000000,0.1632677243E-01
437.0000000000,0.1632223468E-01
438.0000000000,0.1631719193E-01
439.0000000000,0.1631164880E-01
440.0000000000,0.1630560993E-01
441.0000000000,0.1629907994E-01
442.0000000000,0.1629206344E-01
443.0000000000,0.1628456508E-01
444.0000000000,0.1627658946E-01
445.0000000000,0.1626814121E-01
446.0000000000,0.1625922494E-01
447.0000000000,0.1624984527E-01
448.0000000000,0.1624000680E-01
449.0000000000,0.1622971414E-01
450.0000000000,0.1621897187E-01
451.0000000000,0.1620778459E-01
452.0000000000,0.1619615687E-01
453.0000000000,0.1618409330E-01
454.0000000000,0.1617159841E-01
455.0000000000,0.1615867678E-01
456.0000000000,0.1614533294E-01
457.0000000000,0.1613157142E-01
458.0000000000,0.1611739674E-01
459.0000000000,0.1610281340E-01
460.0000000000,0.1608782590E-01
461.0000000000,0.1607243873E-01
462.0000000000,0.1605665633E-01
463.0000000000,0.1604048318E-01
464.0000000000,0.1602392370E-01
465.0000000000,0.1600698232E-01
466.0000000000,0.1598966344E-01
467.0000000000,0.1597197146E-01
468.0000000000,0.1595391074E-01
469.0000000000,0.1593548564E-01
470.0000000000,0.1591670050E-01
471.0000000000,0.1589755965E-01
472.0000000000,0.1587806738E-01
473.0000000000,0.1585822798E-01
474.0000000000,0.1583804571E-01
475.0000000000,0.1581752483E-01
476.0000000000,0.1579666954E-01
477.0000000000,0.1577548407E-01
478.0000000000,0.1575397260E-01
479.0000000000,0.1573213928E-01
480.0000000000,0.1570998828E-01
481.0000000000,0.1568752370E-01
482.0000000000,0.1566474965E-01
483.0000000000,0.1564167022E-01
484.0000000000,0.1561828945E-01
485.0000000000,0.1559461139E-01
486.0000000000,0.1557064004E-01
487.0000000000,0.1554637941E-01
488.0000000000,0.1552183345E-01
489.0000000000,0.1549700612E-01
490.0000000000,0.1547190133E-01
491.0000000000,0.1544652298E-01
492.0000000000,0.1542087496E-01
493.0000000000,0.1539496110E-01
494.0000000000,0.1536878524E-01
495.0000000000,0.1534235119E-01
496.0000000000,0.1531566271E-01
497.0000000000,0.1528872357E-01
498.0000000000,0.1526153750E-01
499.0000000000,0.1523410821E-01
500.0000000000,0.1520643937E-01
501.0000000000,0.1517853464E-01
502.0000000000,0.1515039766E-01
503.0000000000,0.1512203203E-01
504.0000000000,0.1509344134E-01
505.0000000000,0.1506462914E-01
506.0000000000,0.1503559897E-01
507.0000000000,0.1500635433E-01
508.0000000000,0.1497689871E-01
509.0000000000,0.1494723556E-01
510.0000000000,0.1491736831E-01
511.0000000000,0.1488730038E-01
512.0000000000,0.1485703514E-01
513.0000000000,0.1482657595E-01
514.0000000000,0.1479592613E-01
515.0000000000,0.1476508900E-01
516.0000000000,0.1473406783E-01
517.0000000000,0.1470286588E-01
518.0000000000,0.1467148638E-01
519.0000000000,0.1463993252E-01
520.0000000000,0.1460820749E-01
521.0000000000,0.1457631444E-01
522.0000000000,0.1454425650E-01
523.0000000000,0.1451203677E-01
524.0000000000,0.1447965832E-01
525.0000000000,0.1444712420E-01
526.0000000000,0.1441443745E-01
527.0000000000,0.1438160107E-01
528.0000000000,0.1434861802E-01
529.0000000000,0.1431549125E-01
530.0000000000,0.1428222371E-01
531.0000000000,0.1424881828E-01
532.0000000000,0.1421527783E-01
533.0000000000,0.1418160523E-01
534.0000000000,0.1414780329E-01
535.0000000000,0.1411387482E-01
536.0000000000,0.1407982259E-01
537.0000000000,0.1404564936E-01
538.0000000000,0.1401135784E-01
539.0000000000,0.1397695075E-01
540.0000000000,0.1394243076E-01
541.0000000000,0.1390780052E-01
542.0000000000,0.1387306266E-01
543.0000000000,0.1383821980E-01
544.0000000000,0.1380327450E-01
545.0000000000,0.1376822933E-01
546.0000000000,0.1373308681E-01
547.0000000000,0.1369784947E-01
548.0000000000,0.1366251978E-01
549.0000000000,0.1362710020E-01
550.0000000000,0.1359159317E-01
551.0000000000,0.1355600112E-01
552.0000000000,0.1352032642E-01
553.0000000000,0.1348457145E-01
554.0000000000,0.1344873856E-01
555.0000000000,0.1341283006E-01
556.0000000000,0.1337684825E-01
557.0000000000,0.1334079541E-01
558.0000000000,0.1330467380E-01
559.0000000000,0.1326848565E-01
560.0000000000,0.1323223316E-01
561.0000000000,0.1319591852E-01
562.0000000000,0.1315954389E-01
563.0000000000,0.1312311142E-01
564.0000000000,0.1308662323E-01
565.0000000000,0.1305008141E-01
566.0000000000,0.1301348804E-01
567.0000000000,0.1297684518E-01
568.0000000000,0.1294015486E-01
569.0000000000,0.1290341909E-01
570.0000000000,0.1286663987E-01
571.0000000000,0.1282981915E-01
572.0000000000,0.1279295890E-01
573.0000000000,0.1275606103E-01
574.0000000000,0.1271912745E-01
575.0000000000,0.1268216006E-01
576.0000000000,0.1264516071E-01
577.0000000000,0.1260813126E-01
578.0000000000,0.1257107352E-01
579.0000000000,0.1253398930E-01
580.0000000000,0.1249688039E-01
581.0000000000,0.1245974855E-01
582.0000000000,0.1242259552E-01
583.0000000000,0.1238542304E-01
584.0000000000,0.1234823281E-01
585.0000000000,0.1231102651E-01
586.0000000000,0.1227380582E-01
587.0000000000,0.1223657238E-01
588.0000000000,0.1219932782E-01
589.0000000000,0.1216207376E-01
590.0000000000,0.1212481177E-01
591.0000000000,0.1208754345E-01
592.0000000000,0.1205027034E-01
593.0000000000,0.1201299398E-01
594.0000000000,0.1197571589E-01
595.0000000000,0.1193843757E-01
596.0000000000,0.1190116050E-01
597.0000000000,0.1186388615E-01
598.0000000000,0.1182661597E-01
599.0000000000,0.1178935138E-01
600.0000000000,0.1175209379E-01
601.0000000000,0.1171484461E-01
602.0000000000,0.1167760521E-01
603.0000000000,0.1164037695E-01
604.0000000000,0.1160316118E-01
605.0000000000,0.1156595922E-01
606.0000000000,0.1152877238E-01
607.0000000000,0.1149160197E-01
608.0000000000,0.1145444924E-01
609.0000000000,0.1141731548E-01
610.0000000000,0.1138020193E-01
611.0000000000,0.1134310980E-01
612.0000000000,0.1130604033E-01
613.0000000000,0.1126899470E-01
614.0000000000,0.1123197410E-01
615.0000000000,0.1119497970E-01
616.0000000000,0.1115801265E-01
617.0000000000,0.1112107408E-01
618.0000000000,0.1108416512E-01
619.0000000000,0.1104728687E-01
620.0000000000,0.1101044043E-01
621.0000000000,0.1097362687E-01
622.0000000000,0.1093684726E-01
623.0000000000,0.1090010264E-01
624.0000000000,0.1086339404E-01
625.0000000000,0.1082672250E-01
626.0000000000,0.1079008900E-01
627.0000000000,0.1075349456E-01
628.0000000000,0.1071694013E-01
629.0000000000,0.1068042669E-01
630.0000000000,0.1064395518E-01
631.0000000000,0.1060752655E-01
632.0000000000,0.1057114172E-01
633.0000000000,0.1053480159E-01
634.0000000000,0.1049850706E-01
635.0000000000,0.1046225903E-01
636.0000000000,0.1042605835E-01
637.0000000000,0.1038990589E-01
638.0000000000,0.1035380249E-01
639.0000000000,0.1031774900E-01
640.0000000000,0.1028174621E-01
641.0000000000,0.1024579496E-01
642.0000000000,0.1020989602E-01
643.0000000000,0.1017405020E-01
644.0000000000,0.1013825825E-01
645.0000000000,0.1010252093E-01
646.0000000000,0.1006683901E-01
647.0000000000,0.1003121321E-01
648.0000000000,0.9995644253E-02
649.0000000000,0.9960132862E-02
650.0000000000,0.9924679736E-02
651.0000000000,0.9889285565E-02
652.0000000000,0.9853951030E-02
653.0000000000,0.9818676800E-02
654.0000000000,0.9783463533E-02
655.0000000000,0.9748311876E-02
656.0000000000,0.9713222466E-02
657.0000000000,0.9678195928E-02
658.0000000000,0.9643232878E-02
659.0000000000,0.9608333922E-02
660.0000000000,0.9573499653E-02
661.0000000000,0.9538730656E-02
662.0000000000,0.9504027506E-02
663.0000000000,0.9469390767E-02
664.0000000000,0.9434820994E-02
665.0000000000,0.9400318731E-02
666.0000000000,0.9365884513E-02
667.0000000000,0.9331518866E-02
668.0000000000,0.9297222305E-02
669.0000000000,0.9262995337E-02
670.0000000000,0.9228838460E-02
671.0000000000,0.9194752160E-02
672.0000000000,0.9160736917E-02
673.0000000000,0.9126793200E-02
674.0000000000,0.9092921470E-02
675.0000000000,0.9059122179E-02
676.0000000000,0.9025395770E-02
677.0000000000,0.8991742678E-02
678.0000000000,0.8958163327E-02
679.0000000000,0.8924658136E-02
680.0000000000,0.8891227513E-02
681.0000000000,0.8857871859E-02
682.0000000000,0.8824591567E-02
683.0000000000,0.8791387019E-02
684.0000000000,0.8758258593E-02
685.0000000000,0.8725206657E-02
686.0000000000,0.8692231570E-02
687.0000000000,0.8659333685E-02
688.0000000000,0.8626513347E-02
689.0000000000,0.8593770892E-02
690.0000000000,0.8561106651E-02
691.0000000000,0.8528520944E-02
692.0000000000,0.8496014087E-02
693.0000000000,0.8463586386E-02
694.0000000000,0.8431238142E-02
695.0000000000,0.8398969647E-02
696.0000000000,0.8366781187E-02
697.0000000000,0.8334673041E-02
698.0000000000,0.8302645480E-02
699.0000000000,0.8270698768E-02
700.0000000000,0.8238833165E-02
701.0000000000,0.8207048922E-02
702.0000000000,0.8175346282E-02
703.0000000000,0.8143725485E-02
704.0000000000,0.8112186761E-02
705.0000000000,0.8080730337E-02
706.0000000000,0.8049356430E-02
707.0000000000,0.8018065254E-02
708.0000000000,0.7986857015E-02
709.0000000000,0.7955731913E-02
710.0000000000,0.7924690142E-02
711.0000000000,0.7893731891E-02
712.0000000000,0.7862857341E-02
713.0000000000,0.7832066669E-02
714.0000000000,0.7801360046E-02
715.0000000000,0.7770737637E-02
716.0000000000,0.7740199600E-02
717.0000000000,0.7709746090E-02
718.0000000000,0.7679377254E-02
719.0000000000,0.7649093235E-02
720.0000000000,0.7618894171E-02
721.0000000000,0.7588780192E-02
722.0000000000,0.7558751427E-02
723.0000000000,0.7528807995E-02
724.0000000000,0.7498950014E-02
725.0000000000,0.7469177595E-02
726.0000000000,0.7439490843E-02
727.0000000000,0.7409889859E-02
728.0000000000,0.7380374741E-02
729.0000000000,0.7350945580E-02
730.0000000000,0.7321602461E-02
731.0000000000,0.7292345468E-02
732.0000000000,0.7263174676E-02
733.0000000000,0.7234090159E-02
734.0000000000,0.7205091985E-02
735.0000000000,0.7176180217E-02
736.0000000000,0.7147354915E-02
737.0000000000,0.7118616132E-02
738.0000000000,0.7089963920E-02
739.0000000000,0.7061398324E-02
740.0000000000,0.7032919386E-02
741.0000000000,0.7004527144E-02
742.0000000000,0.6976221631E-02
743.0000000000,0.6948002877E-02
744.0000000000,0.6919870907E-02
745.0000000000,0.6891825742E-02
746.0000000000,0.6863867401E-02
747.0000000000,0.6835995896E-02
748.0000000000,0.6808211237E-02
749.0000000000,0.6780513431E-02
750.0000000000,0.6752902480E-02
751.0000000000,0.6725378383E-02
752.0000000000,0.6697941134E-02
753.0000000000,0.6670590724E-02
754.0000000000,0.6643327143E-02
755.0000000000,0.6616150374E-02
756.0000000000,0.6589060398E-02
757.0000000000,0.6562057193E-02
758.0000000000,0.6535140733E-02
759.0000000000,0.6508310990E-02
760.0000000000,0.6481567929E-02
761.0000000000,0.6454911517E-02
762.0000000000,0.6428341715E-02
763.0000000000,0.6401858479E-02
764.0000000000,0.6375461767E-02
765.0000000000,0.6349151529E-02
766.0000000000,0.6322927715E-02
767.0000000000,0.6296790271E-02
768.0000000000,0.6270739140E-02
769.0000000000,0.6244774262E-02
770.0000000000,0.6218895574E-02
771.0000000000,0.6193103012E-02
772.0000000000,0.6167396507E-02
773.0000000000,0.6141775988E-02
774.0000000000,0.6116241382E-02
775.0000000000,0.6090792612E-02
776.0000000000,0.6065429601E-02
777.0000000000,0.6040152266E-02
778.0000000000,0.6014960523E-02
779.0000000000,0.5989854287E-02
780.0000000000,0.5964833468E-02
781.0000000000,0.5939897976E-02
782.0000000000,0.5915047716E-02
783.0000000000,0.5890282592E-02
784.0000000000,0.5865602507E-02
785.0000000000,0.5841007360E-02
786.0000000000,0.5816497048E-02
787.0000000000,0.5792071465E-02
