time,elapsed_seconds,message
08:22:23,3.78e-05,LinearAnalysis::calc_posterior() form posterior parcov
08:22:23,1.86e-05,LinearAnalysis::calc_posterior() invert posterior parcov
08:22:23,9e-06,inverting non-diagonal matrix in place
08:22:23,0.0009826,forecast FOSM calcs
08:22:23,0.0003105,LinearAnalysis::prior_prediction_variance
08:22:23,4.56e-05,LinearAnalysis::prior_prediction_variance
08:22:27,3.50702,completed iteration 1
08:22:27,0.0158617,beginning iteration 2
08:22:27,7.96e-05,commencing to build jacobian parameter sets
08:22:27,0.0014283,jacobian parameter sets built, commencing model runs
08:22:27,0.345476,jacobian runs complete, processing runs
08:22:27,0.0001246,processing jacobian runs complete
08:22:27,1.27e-05,saving jacobian and sen files
08:22:27,0.0019933,commencing calculation of upgrade vector
08:22:27,0.0004626,forming JtQJ matrix
08:22:27,1.88e-05,commencing to scale JtQJ matrix- first SVD...
08:22:27,9.3e-06,starting REDSVD
08:22:27,1.63e-05,retrieving REDSVD components
08:22:27,1.12e-05,triming REDSVD components to 1elements
08:22:27,1.21e-05,done REDSVD
08:22:27,1.66e-05,S info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:27,8.3e-06,JS
08:22:27,9.3e-06,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
08:22:27,1.7e-05,S info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:27,8.5e-06,commencing SVD factorization of lambda-scaled JtQJ
08:22:27,7.7e-06,starting REDSVD
08:22:27,1.22e-05,retrieving REDSVD components
08:22:27,1.01e-05,triming REDSVD components to 1elements
08:22:27,8.4e-06,done REDSVD
08:22:27,7.7e-06,SVD factorization complete
08:22:27,7.58e-05,commencing linear algebra multiplication to compute ugrade
08:22:27,1.08e-05,S info: rows = 1: cols = 1: size = 1: nonzeros = 1Vt info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:27,1.02e-05,U info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:27,1.02e-05,jac info: rows = 24: cols = 1: size = 24: nonzeros = 24
08:22:27,2.21e-05,linear algebra multiplication to compute ugrade complete
08:22:27,1.39e-05,commencing check of parameter bounds and gradients
08:22:27,0.0014167,beginning upgrade vector calculations, lambda = 0.1
08:22:27,7.73e-05,commencing calculation of upgrade vector
08:22:27,0.0005025,forming JtQJ matrix
08:22:27,2.2e-05,commencing to scale JtQJ matrix- first SVD...
08:22:27,1.43e-05,starting REDSVD
08:22:27,1.78e-05,retrieving REDSVD components
08:22:27,1.12e-05,triming REDSVD components to 1elements
08:22:27,8.9e-06,done REDSVD
08:22:27,1.4e-05,S info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:27,7.9e-06,JS
08:22:27,8.9e-06,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
08:22:27,1.73e-05,S info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:27,8.3e-06,commencing SVD factorization of lambda-scaled JtQJ
