obsnme,obsval,weight,obgnme,datetime,oname,otype,usecol
oname:hds_otype:lst_usecol:trgw_0_13_10_datetime:2021-07-02,35.23089376,1.0,oname:hds_otype:lst_usecol:trgw_0_13_10,2021-07-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_13_10_datetime:2021-08-02,35.09589634,1.0,oname:hds_otype:lst_usecol:trgw_0_13_10,2021-08-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_13_10_datetime:2021-09-02,34.88469293,1.0,oname:hds_otype:lst_usecol:trgw_0_13_10,2021-09-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_13_10_datetime:2021-10-02,34.66075521,1.0,oname:hds_otype:lst_usecol:trgw_0_13_10,2021-10-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_13_10_datetime:2021-11-02,34.47276984,1.0,oname:hds_otype:lst_usecol:trgw_0_13_10,2021-11-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_13_10_datetime:2021-12-02,34.38149581,1.0,oname:hds_otype:lst_usecol:trgw_0_13_10,2021-12-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_13_10_datetime:2022-01-02,34.45707803,1.0,oname:hds_otype:lst_usecol:trgw_0_13_10,2022-01-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_15_16_datetime:2020-01-02,34.31796279,1.0,oname:hds_otype:lst_usecol:trgw_0_15_16,2020-01-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_15_16_datetime:2020-02-02,34.41521892,1.0,oname:hds_otype:lst_usecol:trgw_0_15_16,2020-02-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_15_16_datetime:2020-03-02,34.56927413,1.0,oname:hds_otype:lst_usecol:trgw_0_15_16,2020-03-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_15_16_datetime:2020-04-02,34.74765832,1.0,oname:hds_otype:lst_usecol:trgw_0_15_16,2020-04-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_15_16_datetime:2020-05-02,34.8896886,1.0,oname:hds_otype:lst_usecol:trgw_0_15_16,2020-05-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_15_16_datetime:2020-06-02,34.95869052,1.0,oname:hds_otype:lst_usecol:trgw_0_15_16,2020-06-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_15_16_datetime:2020-07-02,34.93044241,1.0,oname:hds_otype:lst_usecol:trgw_0_15_16,2020-07-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_15_16_datetime:2020-08-02,34.80922874,1.0,oname:hds_otype:lst_usecol:trgw_0_15_16,2020-08-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_15_16_datetime:2020-09-02,34.62868604,1.0,oname:hds_otype:lst_usecol:trgw_0_15_16,2020-09-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_15_16_datetime:2020-10-02,34.4419168,1.0,oname:hds_otype:lst_usecol:trgw_0_15_16,2020-10-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_15_16_datetime:2020-11-02,34.28942559,1.0,oname:hds_otype:lst_usecol:trgw_0_15_16,2020-11-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_15_16_datetime:2020-12-02,34.22020257,1.0,oname:hds_otype:lst_usecol:trgw_0_15_16,2020-12-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_15_16_datetime:2021-01-02,34.24988634,1.0,oname:hds_otype:lst_usecol:trgw_0_15_16,2021-01-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_15_16_datetime:2021-02-02,34.36811167,1.0,oname:hds_otype:lst_usecol:trgw_0_15_16,2021-02-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_15_16_datetime:2021-03-02,34.53051547,1.0,oname:hds_otype:lst_usecol:trgw_0_15_16,2021-03-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_15_16_datetime:2021-04-02,34.72165803,1.0,oname:hds_otype:lst_usecol:trgw_0_15_16,2021-04-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_15_16_datetime:2021-05-02,34.86897549,1.0,oname:hds_otype:lst_usecol:trgw_0_15_16,2021-05-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_15_16_datetime:2021-06-02,34.94135474,1.0,oname:hds_otype:lst_usecol:trgw_0_15_16,2021-06-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_15_16_datetime:2021-07-02,34.91613785,1.0,oname:hds_otype:lst_usecol:trgw_0_15_16,2021-07-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_15_16_datetime:2021-08-02,34.79593642,1.0,oname:hds_otype:lst_usecol:trgw_0_15_16,2021-08-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_15_16_datetime:2021-09-02,34.61701468,1.0,oname:hds_otype:lst_usecol:trgw_0_15_16,2021-09-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_15_16_datetime:2021-10-02,34.43231043,1.0,oname:hds_otype:lst_usecol:trgw_0_15_16,2021-10-02,hds,lst,trgw
oname:hds_otype:lst_usecol:trgw_0_15_16_datetime:2021-11-02,34.28233734,1.0,oname:hds_otype:lst_usecol:trgw_0_15_16,2021-11-02,hds,lst,trgw
