,q,x,y,boundname,screen_top,screen_botm,enddatetime,datetime,laymidpt
103,0.0,1518951.9971,5031887.9958,5740/r3__0,110.8355484,66.10900879,2022-12-31,2021-01-01,88.472278595
104,0.0,1518975.0029,5031912.9939,5740/r4__0,107.41553497,66.29637146,2022-12-31,2021-01-01,86.855953215
105,0.0,1518983.0011,5031911.9993,5740/r5__0,108.20442963,66.21166229,2022-12-31,2021-01-01,87.20804596
106,0.0,1518993.9988,5031932.9935,5740/r6__0,107.32171631,66.40007782,2022-12-31,2021-01-01,86.860897065
107,0.0,1519003.0038,5031943.9989,5740/r7__0,107.32171631,66.40007782,2022-12-31,2021-01-01,86.860897065
108,0.0,1519006.0038,5031959.0003,5740/r8__0,107.12687683,66.58709717,2022-12-31,2021-01-01,86.856987
109,0.006,1518762.0032,5031310.9926,5883/sca__0,106.4753418,63.43370056,2022-12-31,2021-01-01,84.95452118
110,0.0,1517111.0055,5032707.9971,5884/2__0,111.26869202,66.49050903,2022-12-31,2021-01-01,88.879600525
111,0.0,1517111.0055,5032707.9971,5884/3__0,111.26869202,66.49050903,2022-12-31,2021-01-01,88.879600525
112,0.0,1518111.9994,5033659.998,80/1__0,111.30678558,65.81338501,2022-12-31,2021-01-01,88.560085295
113,0.0,1518132.002,5033660.9967,80/2__0,111.30678558,65.81338501,2022-12-31,2021-01-01,88.560085295
114,0.0,1518151.9966,5033660.9938,80/3__0,110.68074036,66.38761902,2022-12-31,2021-01-01,88.53417969
115,0.0,1518173.0002,5033660.995,80/4__0,110.68074036,66.38761902,2022-12-31,2021-01-01,88.53417969
116,0.0,1518194.0038,5033660.9963,80/5__0,110.39209747,66.86717987,2022-12-31,2021-01-01,88.62963866999999
117,0.0,1518213.9984,5033660.9933,80/6__0,110.39209747,66.86717987,2022-12-31,2021-01-01,88.62963866999999
118,0.0,1518234.001,5033661.9921,80/7__0,110.39209747,66.86717987,2022-12-31,2021-01-01,88.62963866999999
119,0.0,1518254.0029,5033662.0012,80/8__0,110.45147705,67.35289764,2022-12-31,2021-01-01,88.90218734499999
120,0.0,1517935.998,5032876.9907,82/1__0,110.14809418,65.51726532,2022-12-31,2021-01-01,87.83267975000001
121,0.0,1517926.9994,5032829.9979,82/2__0,109.99642944,65.44676971,2022-12-31,2021-01-01,87.721599575
122,0.0,1517963.0035,5032863.998,82/3__0,110.14809418,65.51726532,2022-12-31,2021-01-01,87.83267975000001
123,0.0,1517969.0021,5032822.9911,82/4__0,110.05841827,65.52114105,2022-12-31,2021-01-01,87.78977966
