X	Y	default	
556934.4986891	395168.10719707	312.32263183594	
556969.30173991	395168.30187335	312.17568969727	
557004.10479079	395168.496733	312.90634155273	
557038.90784176	395168.69177601	313.7197265625	
557073.71089279	395168.88700239	314.47500610352	
557108.51394391	395169.08241213	315.02954101562	
557143.3169951	395169.27800523	314.71081542969	
557178.12004637	395169.4737817	313.92868041992	
557212.92309771	395169.66974153	315.77484130859	
557247.72614913	395169.86588472	318.23571777344	
557282.52920063	395170.06221128	321.11328125	
557317.3322522	395170.2587212	323.66400146484	
557352.13530385	395170.45541449	325.58050537109	
557386.93835557	395170.65229114	327.05487060547	
557421.74140737	395170.84935115	328.27746582031	
557456.54445925	395171.04659453	329.38781738281	
557491.34751121	395171.24402127	330.94473266602	
557526.15056324	395171.44163137	332.05294799805	
557560.95361535	395171.63942484	332.32772827148	
557595.75666753	395171.83740167	332.11779785156	
557630.5597198	395172.03556187	331.68194580078	
557665.36277214	395172.23390543	330.88372802734	
557700.16582455	395172.43243236	329.64346313477	
557734.96887705	395172.63114265	328.17401123047	
557769.77192962	395172.8300363	327.00421142578	
557804.57498227	395173.02911332	326.14254760742	
557839.37803499	395173.2283737	325.25857543945	
557874.1810878	395173.42781745	324.16091918945	
557908.98414068	395173.62744456	322.63311767578	
557943.78719364	395173.82725503	320.39660644531	
557978.59024668	395174.02724887	317.67239379883	
558013.39329979	395174.22742607	316.34072875977	
552201.51958581	395095.10211365	323.36041259766	
552236.32288112	395095.2718526	323.34155273438	
552271.12617649	395095.44177491	323.2746887207	
552305.92947193	395095.61188059	323.20623779297	
552340.73276744	395095.78216963	323.22888183594	
552375.53606302	395095.95264202	323.30633544922	
552410.33935866	395096.12329778	323.34326171875	
552445.14265436	395096.2941369	323.33340454102	
552479.94595014	395096.46515937	323.27944946289	
552514.74924598	395096.63636521	323.20947265625	
552549.55254189	395096.80775441	323.16265869141	
552584.35583786	395096.97932697	323.15704345703	
552619.1591339	395097.15108289	323.14645385742	
552653.96243001	395097.32302217	323.1662902832	
552688.76572618	395097.49514481	323.30126953125	
552723.56902243	395097.66745082	323.53817749023	
552758.37231873	395097.83994018	323.82919311523	
552793.17561511	395098.01261291	324.12069702148	
552827.97891155	395098.18546899	324.380859375	
552862.78220806	395098.35850844	324.61141967773	
552897.58550464	395098.53173124	324.81979370117	
552932.38880129	395098.70513741	324.99627685547	
552967.192098	395098.87872694	325.13421630859	
553001.99539478	395099.05249983	325.23947143555	
553036.79869163	395099.22645608	325.32836914062	
553071.60198855	395099.40059569	325.41604614258	
553106.40528553	395099.57491866	325.50897216797	
553141.20858258	395099.749425	325.60385131836	
553176.0118797	395099.92411469	325.69812011719	
553210.81517689	395100.09898775	325.78881835938	
553245.61847414	395100.27404416	325.87619018555	
553280.42177147	395100.44928394	325.96472167969	
553315.22506886	395100.62470708	326.05758666992	
553350.02836632	395100.80031358	326.16311645508	
553384.83166385	395100.97610344	326.29351806641	
553419.63496144	395101.15207666	326.4508972168	
553454.43825911	395101.32823325	326.60690307617	
553489.24155684	395101.50457319	326.75430297852	
553524.04485465	395101.6810965	326.8869934082	
553558.84815252	395101.85780316	327.01593017578	
553593.65145046	395102.03469319	327.14630126953	
553628.45474847	395102.21176658	327.27395629883	
553663.25804655	395102.38902333	327.39932250977	
553698.0613447	395102.56646345	327.56549072266	
553732.86464291	395102.74408692	327.77249145508	
553767.6679412	395102.92189376	327.97171020508	
553802.47123955	395103.09988395	328.16110229492	
553837.27453798	395103.27805751	328.34857177734	
553872.07783647	395103.45641443	328.53689575195	
553906.88113503	395103.63495471	328.72256469727	
553941.68443367	395103.81367835	328.90298461914	
553976.48773237	395103.99258536	329.07998657227	
554011.29103114	395104.17167572	329.31491088867	
554046.09432998	395104.35094945	329.5881652832	
554080.89762889	395104.53040654	329.85229492188	
554115.70092787	395104.71004699	330.10394287109	
554150.50422693	395104.8898708	330.36895751953	
554185.30752605	395105.06987798	330.66812133789	
554220.11082524	395105.25006851	330.98403930664	
554254.9141245	395105.43044241	331.28875732422	
554289.71742383	395105.61099967	331.53359985352	
554324.52072323	395105.79174029	331.79232788086	
554359.3240227	395105.97266427	332.11383056641	
554394.12732225	395106.15377162	332.53713989258	
554428.93062186	395106.33506232	333.07675170898	
554463.73392155	395106.51653639	333.71701049805	
554498.5372213	395106.69819382	334.43988037109	
554533.34052113	395106.88003461	335.1123046875	
554568.14382102	395107.06205877	335.5622253418	
554602.94712099	395107.24426628	336.12521362305	
554637.75042103	395107.42665716	336.90475463867	
554672.55372114	395107.6092314	337.7785949707	
554707.35702132	395107.791989	338.75024414062	
554742.16032157	395107.97492996	340.22039794922	
554776.96362189	395108.15805429	342.31271362305	
554811.76692228	395108.34136198	344.77819824219	
554846.57022275	395108.52485302	347.34017944336	
554881.37352328	395108.70852744	350.46578979492	
554916.17682389	395108.89238521	355.42422485352	
554950.98012457	395109.07642635	361.29653930664	
554985.78342532	395109.26065084	364.45104980469	
555020.58672615	395109.4450587	361.47570800781	
555055.39002704	395109.62964993	360.11407470703	
555090.19332801	395109.81442451	359.71444702148	
555124.99662905	395109.99938246	359.64248657227	
555159.79993016	395110.18452377	359.66513061523	
555194.60323134	395110.36984844	359.78326416016	
555229.4065326	395110.55535647	359.99450683594	
555264.20983392	395110.74104787	360.06015014648	
555299.01313532	395110.92692263	359.43667602539	
555333.8164368	395111.11298075	358.39266967773	
555368.61973834	395111.29922223	358.84228515625	
555403.42303996	395111.48564708	359.28030395508	
555438.22634165	395111.67225529	359.15362548828	
555473.02964341	395111.85904686	358.71667480469	
555507.83294524	395112.04602179	358.58920288086	
555542.63624715	395112.23318009	359.02056884766	
555577.43954913	395112.42052175	358.48849487305	
555612.24285118	395112.60804677	354.09536743164	
555647.04615331	395112.79575515	349.49755859375	
555681.84945551	395112.9836469	346.79220581055	
555716.65275778	395113.17172201	346.25634765625	
555751.45606013	395113.35998048	347.86700439453	
