rno,node,k,i,j,iseg,ireach,rchlen,width,slope,strtop,strthick,strhc1,thts,thti,eps,uhc,outreach,outseg,asum,line_id,name
103,5468,0,65,73,9,3,45.37167,1.0,0.0001,100.239,1,1.0,0.0,0.0,0.0,0.0,104,10,-0.8581478,1009,0
104,5551,0,66,73,9,4,52.45353,1.0,0.00245927784676174,100.239,1,1.0,0.0,0.0,0.0,0.0,105,10,-0.8092352,1009,0
105,5634,0,67,73,9,5,51.935246,1.0,0.0001,100.11,1,1.0,0.0,0.0,0.0,0.0,106,10,-0.7570408,1009,0
106,5717,0,68,73,9,6,47.69542,1.0,0.0001,100.11,1,1.0,0.0,0.0,0.0,0.0,107,10,-0.7072255,1009,0
107,5718,0,68,74,9,7,3.4796667,1.0,0.08679048262460962,100.11,1,1.0,0.0,0.0,0.0,0.0,108,10,-0.68163794,1009,0
108,5801,0,69,74,9,8,52.211452,1.0,0.000497993741323376,99.808,1,1.0,0.0,0.0,0.0,0.0,109,10,-0.6537924,1009,0
109,5884,0,70,74,9,9,52.197334,1.0,0.0006896038636525414,99.782,1,1.0,0.0,0.0,0.0,0.0,110,10,-0.601588,1009,0
110,5967,0,71,74,9,10,51.684208,1.0,0.0001,99.746,1,1.0,0.0,0.0,0.0,0.0,111,10,-0.5496472,1009,0
111,6050,0,72,74,9,11,27.492058,1.0,0.0001,99.746,1,1.0,0.0,0.0,0.0,0.0,112,10,-0.51005906,1009,0
112,6051,0,72,75,9,12,23.842983,1.0,0.003984451933868721,99.746,1,1.0,0.0,0.0,0.0,0.0,113,10,-0.48439157,1009,0
113,6134,0,73,75,9,13,50.5648,1.0,0.0002768712403129958,99.651,1,1.0,0.0,0.0,0.0,0.0,114,10,-0.44718766,1009,0
114,6217,0,74,75,9,14,50.188526,1.0,0.0022913178087291563,99.637,1,1.0,0.0,0.0,0.0,0.0,115,10,-0.396811,1009,0
115,6300,0,75,75,9,15,50.097168,1.0,0.0001,99.522,1,1.0,0.0,0.0,0.0,0.0,116,10,-0.34666815,1009,0
116,6383,0,76,75,9,16,50.018295,1.0,0.0001,99.522,1,1.0,0.0,0.0,0.0,0.0,117,10,-0.29661041,1009,0
117,6466,0,77,75,9,17,50.01731,1.0,0.0001,99.522,1,1.0,0.0,0.0,0.0,0.0,118,10,-0.24659263,1009,0
118,6549,0,78,75,9,18,50.005615,1.0,0.0001,99.522,1,1.0,0.0,0.0,0.0,0.0,119,10,-0.19658116,1009,0
119,6632,0,79,75,9,19,50.004944,1.0,0.0001,99.522,1,1.0,0.0,0.0,0.0,0.0,120,10,-0.14657588,1009,0
120,6715,0,80,75,9,20,50.055836,1.0,0.0033362706761256066,99.522,1,1.0,0.0,0.0,0.0,0.0,121,10,-0.09654549,1009,0
121,6798,0,81,75,9,21,50.32912,1.0,0.0001,99.355,1,1.0,0.0,0.0,0.0,0.0,122,10,-0.046353012,1009,0
122,6881,0,82,75,9,22,21.188452,1.0,0.0001,99.355,1,1.0,0.0,0.0,0.0,0.0,123,10,-0.010594226,1009,0
123,6881,0,82,75,10,1,30.045856,1.0,0.0001,99.355,1,1.0,0.0,0.0,0.0,0.0,124,0,-0.5928661,1010,0
124,6964,0,83,75,10,2,30.722887,1.0,0.0001,99.355,1,1.0,0.0,0.0,0.0,0.0,125,0,-0.56248176,1010,0
125,6965,0,83,76,10,3,21.31604,1.0,0.017967841783061603,99.355,1,1.0,0.0,0.0,0.0,0.0,126,0,-0.5364623,1010,0
126,7048,0,84,76,10,4,58.33167,1.0,0.0001,98.972,1,1.0,0.0,0.0,0.0,0.0,127,0,-0.49663845,1010,0
127,7131,0,85,76,10,5,51.520916,1.0,0.0001,98.972,1,1.0,0.0,0.0,0.0,0.0,128,0,-0.44171214,1010,0
128,7214,0,86,76,10,6,51.546284,1.0,0.0001,98.972,1,1.0,0.0,0.0,0.0,0.0,129,0,-0.39017853,1010,0
129,7297,0,87,76,10,7,9.546926,1.0,0.0063891782743564695,98.972,1,1.0,0.0,0.0,0.0,0.0,130,0,-0.35963193,1010,0
130,7298,0,87,77,10,8,54.467125,1.0,0.0001,98.911,1,1.0,0.0,0.0,0.0,0.0,131,0,-0.32762492,1010,0
131,7299,0,87,78,10,9,50.632435,1.0,0.0001,98.911,1,1.0,0.0,0.0,0.0,0.0,132,0,-0.27507514,1010,0
132,7300,0,87,79,10,10,53.27773,1.0,0.0001,98.911,1,1.0,0.0,0.0,0.0,0.0,133,0,-0.22312005,1010,0
133,7301,0,87,80,10,11,4.1955304,1.0,0.27052649464435796,98.911,1,1.0,0.0,0.0,0.0,0.0,134,0,-0.19438341,1010,0
134,7218,0,86,80,10,12,50.920044,1.0,0.0040455833455195775,97.776,1,1.0,0.0,0.0,0.0,0.0,135,0,-0.16682562,1010,0
135,7302,0,87,81,10,13,57.56559,1.0,0.0001,97.57,1,1.0,0.0,0.0,0.0,0.0,136,0,-0.11113793,1010,0
136,7303,0,87,82,10,14,30.800074,1.0,0.0001,97.57,1,1.0,0.0,0.0,0.0,0.0,137,0,-0.06695509,1010,0
137,7386,0,88,82,10,15,35.72415,1.0,0.001,97.57,1,1.0,0.0,0.0,0.0,0.0,0,0,-0.03369298,1010,0
