name,value,group,weight
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:4322.5,34.99,oname:heads.csv_otype:lst_usecol:trgw-0-2-15,3.13278
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:4352.5,34.917,oname:heads.csv_otype:lst_usecol:trgw-0-2-15,3.13278
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:4383.5,34.8469,oname:heads.csv_otype:lst_usecol:trgw-0-2-15,3.13278
oname:heads.csv_otype:lst_usecol:trgw-0-2-9_time:3652.5,37.6507,oname:heads.csv_otype:lst_usecol:trgw-0-2-9,0.824
oname:heads.csv_otype:lst_usecol:trgw-0-2-9_time:3683.5,37.6411,oname:heads.csv_otype:lst_usecol:trgw-0-2-9,0.824
oname:heads.csv_otype:lst_usecol:trgw-0-2-9_time:3712.5,37.6647,oname:heads.csv_otype:lst_usecol:trgw-0-2-9,0.824
oname:heads.csv_otype:lst_usecol:trgw-0-2-9_time:3743.5,37.7306,oname:heads.csv_otype:lst_usecol:trgw-0-2-9,0.824
oname:heads.csv_otype:lst_usecol:trgw-0-2-9_time:3773.5,37.8431,oname:heads.csv_otype:lst_usecol:trgw-0-2-9,0.824
oname:heads.csv_otype:lst_usecol:trgw-0-2-9_time:3804.5,37.9489,oname:heads.csv_otype:lst_usecol:trgw-0-2-9,0.824
oname:heads.csv_otype:lst_usecol:trgw-0-2-9_time:3834.5,38.018,oname:heads.csv_otype:lst_usecol:trgw-0-2-9,0.824
oname:heads.csv_otype:lst_usecol:trgw-0-2-9_time:3865.5,38.0125,oname:heads.csv_otype:lst_usecol:trgw-0-2-9,0.824
oname:heads.csv_otype:lst_usecol:trgw-0-2-9_time:3896.5,37.9426,oname:heads.csv_otype:lst_usecol:trgw-0-2-9,0.824
oname:heads.csv_otype:lst_usecol:trgw-0-2-9_time:3926.5,37.8058,oname:heads.csv_otype:lst_usecol:trgw-0-2-9,0.824
oname:heads.csv_otype:lst_usecol:trgw-0-2-9_time:3957.5,37.6357,oname:heads.csv_otype:lst_usecol:trgw-0-2-9,0.824
oname:heads.csv_otype:lst_usecol:trgw-0-2-9_time:3987.5,37.4665,oname:heads.csv_otype:lst_usecol:trgw-0-2-9,0.824
oname:heads.csv_otype:lst_usecol:trgw-0-2-9_time:4018.5,37.3111,oname:heads.csv_otype:lst_usecol:trgw-0-2-9,0.824
oname:heads.csv_otype:lst_usecol:trgw-0-2-9_time:4049.5,37.2334,oname:heads.csv_otype:lst_usecol:trgw-0-2-9,0.824
oname:heads.csv_otype:lst_usecol:trgw-0-2-9_time:4077.5,37.2569,oname:heads.csv_otype:lst_usecol:trgw-0-2-9,0.824
oname:heads.csv_otype:lst_usecol:trgw-0-2-9_time:4108.5,37.3593,oname:heads.csv_otype:lst_usecol:trgw-0-2-9,0.824
oname:heads.csv_otype:lst_usecol:trgw-0-2-9_time:4138.5,37.482,oname:heads.csv_otype:lst_usecol:trgw-0-2-9,0.824
oname:heads.csv_otype:lst_usecol:trgw-0-2-9_time:4169.5,37.6081,oname:heads.csv_otype:lst_usecol:trgw-0-2-9,0.824
oname:heads.csv_otype:lst_usecol:trgw-0-2-9_time:4199.5,37.6864,oname:heads.csv_otype:lst_usecol:trgw-0-2-9,0.824
oname:heads.csv_otype:lst_usecol:trgw-0-2-9_time:4230.5,37.7019,oname:heads.csv_otype:lst_usecol:trgw-0-2-9,0.824
oname:heads.csv_otype:lst_usecol:trgw-0-2-9_time:4261.5,37.6336,oname:heads.csv_otype:lst_usecol:trgw-0-2-9,0.824
oname:heads.csv_otype:lst_usecol:trgw-0-2-9_time:4291.5,37.501,oname:heads.csv_otype:lst_usecol:trgw-0-2-9,0.824
oname:heads.csv_otype:lst_usecol:trgw-0-2-9_time:4322.5,37.3326,oname:heads.csv_otype:lst_usecol:trgw-0-2-9,0.824
oname:heads.csv_otype:lst_usecol:trgw-0-2-9_time:4352.5,37.1634,oname:heads.csv_otype:lst_usecol:trgw-0-2-9,0.824
oname:heads.csv_otype:lst_usecol:trgw-0-2-9_time:4383.5,36.9978,oname:heads.csv_otype:lst_usecol:trgw-0-2-9,0.824
oname:heads.csv_otype:lst_usecol:trgw-0-21-10_time:3652.5,36.3242,oname:heads.csv_otype:lst_usecol:trgw-0-21-10,1.23348
oname:heads.csv_otype:lst_usecol:trgw-0-21-10_time:3683.5,36.1948,oname:heads.csv_otype:lst_usecol:trgw-0-21-10,1.23348
oname:heads.csv_otype:lst_usecol:trgw-0-21-10_time:3712.5,36.1488,oname:heads.csv_otype:lst_usecol:trgw-0-21-10,1.23348
oname:heads.csv_otype:lst_usecol:trgw-0-21-10_time:3743.5,36.1575,oname:heads.csv_otype:lst_usecol:trgw-0-21-10,1.23348
oname:heads.csv_otype:lst_usecol:trgw-0-21-10_time:3773.5,36.2228,oname:heads.csv_otype:lst_usecol:trgw-0-21-10,1.23348
