,parnme,parval1,i,j,x,y,pargp,tpl_filename,input_filename,partype,partrans,parubnd,parlbnd,parchglim,scale,dercom,offset
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:14_x:3625.00_y:9625.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:14_x:3625.00_y:9625.00_zone:1,35.49428,1,14,3625.0,9625.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:15_x:3875.00_y:9625.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:15_x:3875.00_y:9625.00_zone:1,35.07375,1,15,3875.0,9625.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:16_x:4125.00_y:9625.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:16_x:4125.00_y:9625.00_zone:1,35.1944,1,16,4125.0,9625.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:17_x:4375.00_y:9625.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:17_x:4375.00_y:9625.00_zone:1,35.26618,1,17,4375.0,9625.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:18_x:4625.00_y:9625.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:18_x:4625.00_y:9625.00_zone:1,35.3118,1,18,4625.0,9625.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:19_x:4875.00_y:9625.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:19_x:4875.00_y:9625.00_zone:1,35.33564,1,19,4875.0,9625.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:2_j:0_x:125.00_y:9375.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:2_j:0_x:125.00_y:9375.00_zone:1,39.46794,2,0,125.0,9375.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:2_j:1_x:375.00_y:9375.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:2_j:1_x:375.00_y:9375.00_zone:1,39.39617,2,1,375.0,9375.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:2_j:2_x:625.00_y:9375.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:2_j:2_x:625.00_y:9375.00_zone:1,39.24343,2,2,625.0,9375.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:2_j:3_x:875.00_y:9375.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:2_j:3_x:875.00_y:9375.00_zone:1,39.01768,2,3,875.0,9375.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
