,parent,child,top_bot,idomainp,ncpp,ncppl,p0,p1,p2,c0,c1,c2
609,"(2, 10, 2)","(5, 13, 0)",0,8.333500027656555,2.7776665687561035,784.9365420197653,2,10,2,5,13,0
610,"(2, 10, 2)","(5, 13, 1)",0,8.333500027656555,2.7776665687561035,784.9365420197653,2,10,2,5,13,1
611,"(2, 10, 2)","(5, 13, 2)",0,8.333500027656555,2.7776665687561035,784.9365420197653,2,10,2,5,13,2
612,"(2, 10, 3)","(5, 13, 3)",0,8.33349984884262,2.777666886647543,784.9365420197653,2,10,3,5,13,3
613,"(2, 10, 3)","(5, 13, 4)",0,8.33349984884262,2.777666886647543,784.9365420197653,2,10,3,5,13,4
614,"(2, 10, 3)","(5, 13, 5)",0,8.33349984884262,2.777666886647543,784.9365420197653,2,10,3,5,13,5
615,"(2, 10, 4)","(5, 13, 6)",0,8.33349996805191,2.7776665687561035,784.9365420197653,2,10,4,5,13,6
616,"(2, 10, 4)","(5, 13, 7)",0,8.33349996805191,2.7776665687561035,784.9365420197653,2,10,4,5,13,7
617,"(2, 10, 4)","(5, 13, 8)",0,8.33349996805191,2.7776665687561035,784.9365420197653,2,10,4,5,13,8
618,"(2, 10, 5)","(5, 13, 9)",0,8.333499789237976,2.777666886647543,784.9365420197653,2,10,5,5,13,9
619,"(2, 10, 5)","(5, 13, 10)",0,8.333499789237976,2.777666886647543,784.9365420197653,2,10,5,5,13,10
620,"(2, 10, 5)","(5, 13, 11)",0,8.333499789237976,2.777666886647543,784.9365420197653,2,10,5,5,13,11
621,"(2, 10, 6)","(5, 13, 12)",0,8.333500027656555,2.7776667277018223,784.9365420197653,2,10,6,5,13,12
622,"(2, 10, 6)","(5, 13, 13)",0,8.333500027656555,2.7776667277018223,784.9365420197653,2,10,6,5,13,13
623,"(2, 10, 6)","(5, 13, 14)",0,8.333500027656555,2.7776667277018223,784.9365420197653,2,10,6,5,13,14
624,"(2, 10, 7)","(5, 13, 15)",0,8.333499908447266,2.7776667277018223,784.9365420197653,2,10,7,5,13,15
625,"(2, 10, 7)","(5, 13, 16)",0,8.333499908447266,2.7776667277018223,784.9365420197653,2,10,7,5,13,16
626,"(1, 10, 8)","(5, 13, 17)",2,51.470001220703125,17.156667073567707,22.87555440266927,1,10,8,5,13,17
627,"(2, 10, 7)","(5, 13, 17)",0,8.333499908447266,2.7776667277018223,784.9365420197653,2,10,7,5,13,17
628,"(1, 10, 1)","(5, 14, 0)",2,51.470001220703125,17.156667073567707,22.87555440266927,1,10,1,5,14,0
